Startup,Subvertical
TapCibo,Job platform connecting recruiters with candidates and career resources
Verayu,"E-learning platform providing skill development, assessments, and certifications"
MyDreamStore,"Event discovery and booking platform for experiences, concerts, and workshops"
AppVirality,"Automobile platform providing buying, selling, and car service solutions"
RateGain,"Real estate platform connecting buyers, sellers, and rental services"
Wishberry,Printing services platform providing custom products for events and marketing
eKincare,Software development company offering enterprise and cloud-based applications
ShopClues,AI startup developing computer vision and machine learning solutions
Refiral,"Hospitality tech platform providing booking, operations, and management tools"
Ping Digital,"E-commerce coupon aggregator providing deals, offers, and discounts online"
HealthyWorld.in,Online dating platform connecting singles through mobile and web applications
Hostel Dunia,Video streaming app for live and recorded interactive content experiences
Play your sport,Mobile advertising and marketing solutions for brands and app developers
Yo Grad,Enterprise SaaS platform providing business process automation and analytics tools
Enabli,Fintech analytics and solutions for personalized financial management and investments
CBS,Custom furniture e-commerce platform allowing personalized home interior solutions
Hopscotch,Genomics testing and personalized health insights for preventive healthcare decisions
Amagi Media Labs,"Social media management tool for scheduling, analytics, and audience engagement"
HealthyWorld.in,Food delivery platform connecting local restaurants with online customers efficiently
Simplilearn,Grocery delivery service enabling convenient online ordering and home delivery
MyDreamStore,Application performance monitoring and analytics platform for IT teams and developers
Knit,Fitness and wellness tracking platform providing personalized health recommendations
Villgro,Subscription billing and recurring payment management software for businesses
Corporate360,Deals aggregator platform providing discounts and offers across various e-commerce sites
Freshmonk,Business process automation solutions for optimizing enterprise operations and workflows
Englishleap.com,Mobile and online gaming studio creating interactive entertainment experiences
Antuit,Food delivery platform with focus on restaurant partnerships and quick logistics
Caratlane.com,"Digital payments platform enabling online transactions, wallet services, and UPI payments"
Aasaanjobs,Diabetes management platform providing personalized health monitoring and data insights
Impartus,Logistics app optimizing last-mile delivery and supply chain operations
Thrill App,"Healthcare platform connecting doctors, patients, and medical resources seamlessly"
CarDekho.com,Medical device company developing innovative healthcare and diagnostic equipment
Grabhouse.com,"Travel booking platform for flights, hotels, and personalized itineraries"
Printvenue,"Digital marketing agency offering SEO, social media, and content strategy services"
Graphene,Rental housing platform providing verified properties for short-term and long-term stays
Mad Street Den,News media platform delivering positive news stories across India and globally
Simplotel,Taxi service platform offering cab booking and ride-sharing solutions online
couponmachine.in,Online gaming platform for interactive multiplayer and casual games
